question,ground_truth_answer,generated_answer,retrieval_latency_ms,generation_latency_ms,num_retrieved,citations_used
Were Scott Derrickson and Ed Wood of the same nationality?,yes,"Scott Derrickson is an American director, screenwriter, and producer [1]. The provided documents do not specify the nationality of Ed Wood.",9413.6,3621.8,5,[1]
What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,"Shirley Temple, who portrayed Corliss Archer in the film ""Kiss and Tell"" [1], served as the United States ambassador to Ghana and to Czechoslovakia, and also as Chief of Protocol of the United States [4].",1641.9,3415.3,5,"[1, 4]"
"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,"The science fantasy young adult series described is Animorphs [1]. It is told in first person, with all six main characters taking turns narrating the books [1]. The Animorphs series has companion books, such as ""The Hork-Bajir Chronicles,"" which narrates the story of how the Yeerks enslaved the Hork-Bajir and how an Andalite named Aldrea and a Hork-Bajir named Dak Hamee tried to save their world from invasion [2].",2715.4,5666.8,5,"[1, 1, 2]"
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,"No, the Laleli Mosque and Esma Sultan Mansion are not located in the same neighborhood. The Laleli Mosque is located in Laleli, Fatih, Istanbul, Turkey [2], while the Esma Sultan Mansion is located in the Ortaköy neighborhood of Istanbul, Turkey [1].",2831.3,3262.9,5,"[2, 1]"
"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City","The director of the romantic comedy ""Big Stone Gap,"" Adriana Trigiani, is based in Greenwich Village, New York City [1, 2].",4379.0,3448.5,5,[]
2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,"""2014 S/S"" is the debut album of the South Korean group WINNER [1]. WINNER was formed by YG Entertainment [2].",3121.6,3616.8,5,"[1, 2]"
Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,"Eenasul Fateh, also known by his stage name Aladin, was a former international management consultant [1]. Management consulting involves helping organizations improve their performance [2].",4476.2,19619.8,5,"[1, 2]"
The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","The arena where the Lewiston Maineiacs played their home games, the Androscoggin Bank Colisée, has a capacity of 4,000 people, with 3,677 seated [1, 2].",5929.7,4077.8,5,[]
"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,"Terrence ""Uncle Terry"" Richardson was born on August 14, 1965 [2], and Annie Morton was born on October 8, 1970 [1]. Therefore, Terry Richardson is older.",935.6,7902.7,5,"[2, 1]"
Are Local H and For Against both from the United States?,yes,"Yes, Local H is an American rock band [1], and For Against is a United States post-punk/dream pop band [2].",1309.9,2839.6,5,"[1, 2]"
"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song,"The fight song of the university whose main campus is in Lawrence, Kansas, and whose branch campuses are in the Kansas City metropolitan area is Kansas Song (We’re From Kansas) [1, 2]. This university is the University of Kansas [1].",1981.8,3116.2,5,[1]
"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",David Weissman,"David Weissman is a screenwriter with credits for ""Evolution"" [2]. He co-wrote ""The Family Man,"" which stars Nicolas Cage and Téa Leoni [1].",1537.5,3532.0,5,"[2, 1]"
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,"Guns N' Roses performed a promo in 1999 for the film ""End of Days"" [2]. This film, released in 1999, starred Arnold Schwarzenegger as Jericho Cane, a former New York Police Department detective [1]. The song ""Oh My God"" by Guns N' Roses was released in 1999 on the soundtrack to ""End of Days"" and was sent to radio stations in November 1999 as a promo for the soundtrack and the band [2].",1425.6,22068.0,5,"[2, 1, 2]"
Are Random House Tower and 888 7th Avenue both used for real estate?,no,"888 7th Avenue houses the Vornado Realty Trust corporate headquarters [1]. The Random House Tower is a mixed-use building used as the headquarters of book publisher Random House and a luxury apartment complex [2]. Based on the provided documents, only 888 7th Avenue is explicitly stated to be used for a real estate-related purpose.",5645.2,4079.9,5,"[1, 2]"
The football manager who recruited David Beckham managed Manchester United during what timeframe?,from 1986 to 2013,The football manager who recruited David Beckham was Alex Ferguson [5]. He managed Manchester United from 1986 to 2013 [1].,1633.2,4075.8,5,"[5, 1]"
